question,document
What kind of protection does token monitoring give in long loops or long-running workflows?,a4adc70f41
Where in a Kestra LLM task can you grab the token usage so you can log or dashboard it?,a4adc70f41
Why do I get the Docker Desktop error about a path under /tmp not being shared from the host?,dd8b4c9fda
How can I allow Docker Desktop to mount /tmp or /tmp/kestra-wd when running Kestra?,dd8b4c9fda
Where in Docker Desktop do I add a folder to the file sharing list so the container can start?,dd8b4c9fda
What should I change in Docker Desktop if docker compose up fails because mounts are denied for /tmp?,dd8b4c9fda
"After I add /tmp to Docker Desktop sharing, do I need to restart anything before running Kestra again?",dd8b4c9fda
"For the Module 3 Kestra homework, what am I actually supposed to upload if all the work was done in the Kestra UI?",f29f622684
Do I need to put the Kestra flow YAML files in a public GitHub repo for the homework submission?,f29f622684
"If my homework only involved editing flows in Kestra, what should I include in the repo besides the flow files?",f29f622684
"Should I submit a README too for the Module 3 homework, or are the Kestra flows enough?",f29f622684
"Where do I put the answers to Q1, Q2, and the rest for the Kestra homework submission?",f29f622684
Why do I get `JSONDecodeError: Expecting value` when I try to parse the LLM output with `json.loads(...)` while generating ground-truth questions?,a3c7e1b4f9
"How can I make the model return valid JSON only, so my `json.loads(response)` call doesn't fail with a markdown code fence or extra text?",a3c7e1b4f9
What should I set in the OpenAI chat completion request to force the response to be a JSON object instead of plain text?,a3c7e1b4f9
"Do I also need to change my prompt when asking the LLM for 5 questions in JSON, or is `response_format={""type"": ""json_object""}` enough?",a3c7e1b4f9
"Is there a provider-agnostic way to avoid the JSON parsing error in module 4 evaluation, like with Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter notebook crash when I try to embed the ground-truth data?,b8f2d6a30c
What can I do if the kernel dies from running out of memory during embedding?,b8f2d6a30c
Is there a smaller embedding model I can switch to for the eval notebook?,b8f2d6a30c
Should I run the embedding step in a separate script instead of inside Jupyter?,b8f2d6a30c
How can I avoid RAM issues on Codespaces when loading the embedder and the notebook at the same time?,b8f2d6a30c
Why am I still getting rate-limit errors even after adding `time.sleep(4)` in my loop?,c1e9f4b820
"If Gemini free tier keeps stopping me while building the ground-truth data, what’s the easiest workaround?",c1e9f4b820
Is there a cheaper API I can use to generate the full eval dataset without running into these limits so fast?,c1e9f4b820
How can I make my threaded API calls less likely to hit request limits?,c1e9f4b820
What’s the best way to avoid losing progress if my ground-truth generation gets interrupted by quota errors?,c1e9f4b820
How do I fix the WinError 126 fbgemm.dll missing error on Windows when importing torch?,15e931476c
"Is Visual C++ Redistributable enough to solve the ""specified module could not be found"" error for fbgemm.dll?",15e931476c
Do I need Visual Studio or just Visual Studio Code to resolve the PyTorch fbgemm.dll dependency issue on Windows?,15e931476c
What should I install if Python says it can't load torch\lib\fbgemm.dll or one of its dependencies?,15e931476c
"Has anyone seen the OSError about fbgemm.dll on Windows, and what ended up fixing it?",15e931476c
"Why do I get psycopg2 OperationalError saying it can’t translate host name ""postgres"" when I run prep.py, and what should I change in my config?",4b65d5542d
My python prep.py fails with a Postgres host lookup error. Is there a setting in the .env file I need to update?,4b65d5542d
"How do I fix the ""could not translate host name postgres to address"" error when connecting to Postgres locally?",4b65d5542d
What should POSTGRES_HOST be set to if I’m getting a no such host is known error during prep.py?,4b65d5542d
I’m seeing OperationalError from psycopg2 about the postgres host not being found. What’s the correct localhost setting?,4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
What setting do I change in Pandas to see the whole Explanation field in the offline rag eval notebook?,641aedbbf5
"Why does my Pandas column only show part of the judge LLM explanation, and how can I fix it?",641aedbbf5
Is there a way to stop Pandas from truncating long strings in a dataframe column?,641aedbbf5
What line should I run in Pandas to display the entire content of a text column?,641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What's the easiest way to normalize a vector in a Pandas Series?,5039707c1a
Can I use numpy to normalize each value in a dataframe column?,5039707c1a
How do I create a new normalized column from an existing column of vectors?,5039707c1a
Is there a simple apply-based way to divide each vector by its norm in pandas?,5039707c1a
How can I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
What’s the Pandas way to compute a 0.75 quantile for a Series?,b4c8ac5a0c
How do I calculate a percentile for one column in Pandas?,b4c8ac5a0c
Is there a simple method to find the 75% quantile of a DataFrame column?,b4c8ac5a0c
"How would I use Pandas to get the percentile value for `df[""col""]`?",b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the ones still running?",66ccbb7da0
What's the quickest way to force-remove all Docker images on my machine?,66ccbb7da0
How can I delete every Docker volume using a single terminal command?,66ccbb7da0
"Is there a command to clear all containers, images, and volumes in Docker without doing them one by one?",66ccbb7da0
"I need to clean up Docker completely from the terminal — what commands should I use for containers, images, and volumes?",66ccbb7da0
How can I stop the feedback buttons from being clickable more than once after I hit Ask in Streamlit?,2e729f1271
Why does `st.session.submitted` keep turning back to `True` even after I click +1 or -1?,2e729f1271
What’s the fix for session state being reassigned when I’m trying to disable feedback buttons after submission?,2e729f1271
How do I make Streamlit only allow one vote per submitted prompt without `st.session.submitted` getting reset?,2e729f1271
Is there a known solution for `st.session.submitted` changing back to `True` after a feedback button is pressed?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when I start my app with docker-compose, even though it works normally?",e8df9f0d12
What should I check in my Docker setup if docker-compose fails to launch a Streamlit app with an OCI runtime error?,e8df9f0d12
Do I need to add anything to docker-compose or my container image to run Streamlit inside Docker?,e8df9f0d12
How can I fix the container startup error when Streamlit is missing from the PATH during docker-compose up?,e8df9f0d12
"After changing my Docker config, what command should I run so docker-compose rebuilds the app and starts it correctly?",e8df9f0d12
"Can I do the capstone with a teammate, or does everyone need to submit their own project?",0fab61eca2
"If we build one bigger system together, is that allowed for the capstone?",0fab61eca2
How does a shared project need to be split up so each person’s work counts separately?,0fab61eca2
Do I need a separate repo for my capstone submission if I’m working with others?,0fab61eca2
What happens if the project can’t be graded independently for each student?,0fab61eca2
"Do I need to submit two capstone projects, or is one enough?",d5fc98925d
What exactly do attempt 1 and attempt 2 mean for the project submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit two projects just to practice, and if so do they need different data and a different problem?",d5fc98925d
"If I miss the first submission deadline, can I still join in for the second one?",d5fc98925d
"Is the competition considered the capstone project, or are they separate things?",e892d44e42
Can I do the capstone together with a team from the competition?,e892d44e42
"If I join the math-kaggle-llm-competition, does that count toward the capstone requirement?",e892d44e42
Is the capstone meant to be an individual project even if the competition allows groups?,e892d44e42
Can I participate in the competition with a team and still need to do my own capstone separately?,e892d44e42
How will my capstone project be graded in the end?,9a2e2d2008
Who reviews the capstone project after submission?,9a2e2d2008
Do I also have to review other students’ projects?,9a2e2d2008
What happens if I don’t grade the required number of peer projects?,9a2e2d2008
Is the final score based on all reviewer grades or something else?,9a2e2d2008
"When do we get assigned projects to review and grade, and what does the assignment look like?",eae0fb50aa
"After the submission deadline, how are the review projects distributed to participants?",eae0fb50aa
Will there be some kind of list or spreadsheet with the projects we need to grade?,eae0fb50aa
How many projects am I supposed to review once assignments are sent out?,eae0fb50aa
"Do we receive the review/grading assignments only after submissions close, or earlier?",eae0fb50aa
"I already turned in my capstone project, so why am I still not seeing anything to review?",a8a7fef016
When do the review assignments get sent out after the submission deadline is over?,a8a7fef016
"Can I pick which student projects I want to evaluate, or are they assigned automatically?",a8a7fef016
Why is the review page empty even though I finished my submission already?,a8a7fef016
Am I supposed to start reviewing projects before the project list is released?,a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a GitHub page with some dataset suggestions for the final project?,e76a70cde3
I'm stuck on the capstone project—where do I find ideas and tips?,e76a70cde3
Can you point me to a place with possible datasets and guidelines for the project?,e76a70cde3
What resource should I check if I want project ideas plus some dataset options?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion flow in a Jupyter notebook, will that count the same as a script for the project score?",d4f7c08ea1
How many points do I get for the ingestion pipeline if I use plain Python instead of an orchestration tool?,d4f7c08ea1
"When does it make sense to use an orchestrator in the capstone, and when should I skip it?",d4f7c08ea1
Can I still get full marks on the ingestion part without setting up a recurring pipeline tool?,d4f7c08ea1
How can I check if a recommender-style RAG is working when I don’t have clear Q&A labels?,9b0e2d6a47
What’s a good way to create test queries for each item so I can measure retrieval quality?,9b0e2d6a47
Is there a way to use an LLM as a judge to score the full RAG output for relevance or usefulness?,9b0e2d6a47
"For ranking tasks with several acceptable results, should I use NDCG instead of hit rate?",9b0e2d6a47
What metrics make sense for evaluating retrieval when multiple items could be a valid answer?,9b0e2d6a47
What chunking approach should I start with if my PDFs are really long and messy?,6f2a8b3d10
Is it worth using an LLM to split documents into sections instead of just doing fixed chunks?,6f2a8b3d10
"Should I add summaries to each chunk, or does that usually not help much?",6f2a8b3d10
"For legal or financial docs, do I need BM25 plus embeddings, or is dense search enough?",6f2a8b3d10
What tools are good for turning PDFs into cleaner markdown before I chunk them?,6f2a8b3d10
What do you mean by reproducibility for the capstone project?,e5d8a2c761
Do reviewers need my API keys or hosted service creds to run the repo?,e5d8a2c761
Should I put a script in the project that rebuilds the search index from the dataset?,e5d8a2c761
How do I handle environment variables in the repo without exposing secrets?,e5d8a2c761
"What should I use so the project is cheap to run for reviewers, and how should I pin the setup versions?",e5d8a2c761
"Do I have to use Python for the homework and capstone, or can I do the whole thing in another language like JavaScript, Go, or Rust?",ea815eb858
"Is it okay to submit the final project in a non-Python stack if I have a good reason, or will that be a problem for review?",ea815eb858
"If I build the project in something other than Python, what exactly should I put in the README so the reviewer can run it?",ea815eb858
How detailed do the setup instructions need to be for a project written in a language the reviewer may not know?,ea815eb858
What kind of run commands or install steps are expected if I choose a language like Go instead of Python?,ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a page with submitted LLM Zoomcamp project repos from previous years?,930286278d
Can I check 2024 and 2025 LLM Zoomcamp projects somewhere before starting mine?,930286278d
What are the links for older LLM Zoomcamp project submissions?,930286278d
How can I see example capstone projects to get a sense of the expected scope and quality?,930286278d
Do I need to reserve my capstone project idea before I start?,897a350476
Should I announce my project topic somewhere first?,897a350476
Can I ask for feedback on my project idea in Slack before beginning?,897a350476
Is it okay if my capstone project is similar to one from a previous year?,897a350476
"Do I need a unique topic, or is it fine to use a common idea if my implementation is original?",897a350476
Can I build my capstone as a WhatsApp or Telegram bot instead of a website?,7318a90b14
Is there any rule that says the final project has to be a web app?,7318a90b14
"Would a CLI, Slack app, or notebook also count as a valid interface for the project?",7318a90b14
Does the course require you to teach us how to make the project available to users?,7318a90b14
"If I use some other interface for my project, is that okay as long as it meets the evaluation criteria?",7318a90b14
What’s a good tool to pull text out of PDFs for a RAG project?,d8b28c47a0
"If my PDFs are scanned images, which OCR option should I use to get the text?",d8b28c47a0
"Should I use docling, PyMuPDF, or unstructured for document extraction in RAG?",d8b28c47a0
Is there an API-based OCR service I can call instead of running OCR locally?,d8b28c47a0
How do I choose the best extraction tool for my own documents before chunking them?,d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is it only meant for the class?",d850a0e7ea
"If dlt is open-source, does that mean I can apply the workshop ideas in other projects too?",d850a0e7ea
Is it okay to use this workshop material for an MLOps Zoomcamp project or something similar?,d850a0e7ea
"Can I ask questions about the workshop while I'm using it in my own work, or should I only follow it as-is?",d850a0e7ea
Are we allowed to take the data loading approach from this workshop and use it in our own projects?,d850a0e7ea
How do I create a new dlt project for loading data from the cloud?,6bceeebf04
What command should I run to initialize a filesystem to DuckDB dlt setup?,6bceeebf04
I want to start a dlt pipeline from cloud files — what’s the first CLI command?,6bceeebf04
How do I get a fresh dlt project going with filesystem and duckdb?,6bceeebf04
What’s the setup command for a new dlt init project in the filesystem tutorial?,6bceeebf04
Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I try to open the table?,0407213397
"I changed the table name in one place, but `db.open_table(""notion_pages___homework"")` still fails — what am I missing?",0407213397
What does the error about creating `notion_pages___homework` first usually mean in this dlt workshop?,0407213397
How can I fix the issue where the homework table doesn't show up after running the pipeline?,0407213397
Is there another place besides `db.open_table()` where I need to replace `employee_handbook` with `homework`?,0407213397
Why am I getting FileNotFoundError saying the notion_pages___homework table does not exist when I run main() in the dlt workshop?,e95bfafc0e
"In the open-source data ingestion homework, which table name should I use in line 3 instead of creating a new one?",e95bfafc0e
"My code crashes with ""Please first call db.create_table(...)"" for notion_pages___homework — what is the correct fix?",e95bfafc0e
"For the Notion pages homework, should I be calling create_table or open_table on db, and what exact table name should it use?",e95bfafc0e
What should line 3 look like if I want to open the homework table for notion pages without the table-not-found error?,e95bfafc0e
How can I see what tables exist in the database?,e394e6f738
Is there a way to list all tables in the db?,e394e6f738
What method should I use to get the table names from the database?,e394e6f738
How do I check which tables were created in the database?,e394e6f738
Can I print out all table names in the db somehow?,e394e6f738
Does DLT already support ClickHouse or StarRocks connectors?,cd19f122f3
Can I use DLT to load data into ClickHouse or StarRocks right now?,cd19f122f3
Are there built-in DLT connectors for ClickHouse and StarRocks?,cd19f122f3
"If DLT doesn't support ClickHouse or StarRocks, can the community add them?",cd19f122f3
Is there any plan to add ClickHouse or StarRocks connectors to DLT?,cd19f122f3
Why am I getting a 401 Unauthorized when the notebook calls the Notion search API?,0dfba07ace
What should I check if the notebook says it doesn’t have secret access for Notion?,0dfba07ace
Could this Notion API error be caused by an expired token or bad permissions?,0dfba07ace
How do I fix the unauthorized error from api.notion.com/v1/search in the notebook?,0dfba07ace
What are the usual reasons the Notion integration fails with a client error like 401?,0dfba07ace
How do I install the newer requests version from the GitHub zip instead of getting v2.28?,4b30b918bc
What pip command can I use to force requests 2.32.3 for lancedb setup?,4b30b918bc
Why do I keep ending up with requests 2.28 when the workshop needs a newer release?,4b30b918bc
Is there a direct install command for requests from the source archive?,4b30b918bc
"If I get a 401 Client Error while using this, does it mean my key is wrong or not granted access?",4b30b918bc
