question,answer_llm,answer_orig,document
"For Python code or Codespaces, what should I use instead of manually setting the API key in the shell?","For Python code or Codespaces, use:

- **`python-dotenv`** for Python scripts
- **Codespaces secrets** in GitHub Codespaces

So for Python, you’d do:

```python
from dotenv import load_dotenv
load_dotenv()
```

For Codespaces, store the API key as a **Codespaces secret** rather than putting it in shell files or repo files.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
How do I pick good field weights in minsearch or a similar search engine?,"The systematic way is to **evaluate different field weights against a ground-truth dataset**.

A good process is:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics like **hit rate, precision@k, recall@k, or MRR**.

For small projects, you can also do **trial and error**, but evaluation is the more reliable approach.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
Is there a reliable way to tune field weights instead of just guessing?,"Yes. The reliable way is to tune field weights by **evaluation against a ground-truth dataset**, not by guessing.

A practical process is:

1. Create a small set of representative questions.
2. Label which documents should be retrieved for each question.
3. Try different field-weight settings.
4. Compare retrieval metrics like **hit rate, precision@k, recall@k, or MRR**.

For small projects, trial and error can work, but **evaluation is the more reliable approach**.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
What should I use to test different search field weight settings?,"Use a **ground-truth dataset** to test different field weight settings.

A good approach is:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics like **hit rate**, **precision@k**, **recall@k**, or **MRR**.

For small projects, trial and error can work, but evaluation against ground truth is the more reliable method.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
"For a small RAG project, is trial and error enough for field weights, or should I measure something?","For a small RAG project, trial and error can be enough to get started, but the more reliable approach is to measure it.

A good lightweight method is:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics like:
   - hit rate
   - precision@k
   - recall@k
   - MRR

So: **trial and error is okay for small projects**, but **some evaluation is better** if you want to tune weights confidently.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
Which retrieval metrics are useful when comparing different field weights?,"The useful retrieval metrics are:

- hit rate
- precision@k
- recall@k
- MRR","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
What’s the best way to clean documents before using them in RAG?,"The best approach is to make the documents **clean, structured, and easy to chunk and retrieve**.

Common steps:
- Remove obvious noise: broken HTML, duplicate text, boilerplate, OCR errors, repeated headers/footers.
- Preserve useful context: titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that’s easy to process, such as JSON.
- Chunk the documents so related context stays together.
- Keep metadata for later filtering or ranking.

So the goal is not just to shorten the text, but to make retrieval more accurate.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"Should I keep things like titles, page numbers, or section names when preparing data for retrieval?","Yes — keep useful context like titles, section names, page numbers, speaker names, and Q&A structure when preparing data for retrieval. The goal is not just to shorten the text, but to make retrieval more accurate.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"Do I need to convert my docs into JSON for a RAG pipeline, or can I use another format?","No — you do **not** have to convert everything to JSON.

JSON is often convenient for RAG because it’s structured and easy to process, but it’s **not mandatory**. The important part is that your documents are:

- clean
- structured
- easy to chunk and retrieve
- accompanied by useful metadata if possible

You can use other formats too, as long as your pipeline can read and process them well.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
How should I chunk documents so the retriever keeps related context together?,"Chunk documents so that each chunk keeps related context together, not just arbitrary text length.

In practice:
- Keep natural boundaries when possible, such as sections, paragraphs, Q&A pairs, titles, and speaker turns.
- Preserve useful context like section names, dates, page numbers, and headings.
- Remove noise first so chunks contain meaningful text.
- Store metadata with each chunk if it helps later filtering or ranking.

The goal is to make retrieval more accurate by keeping related information together.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
What kind of metadata is worth saving to improve filtering or ranking later?,"Useful metadata to save includes things like:

- titles
- section names
- dates
- page numbers
- speaker names
- Q&A structure

The idea is to keep metadata that may help with filtering or ranking later.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"I’m seeing a “failed to hardlink files” warning from uv in GitHub Codespaces — is that actually a problem, or can I ignore it?","No — it’s not an error. In GitHub Codespaces, `uv` may not be able to hardlink files from its cache, so it warns and falls back to copying them. The package still installs successfully.

If you want to suppress the warning, set:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
Does uv still finish installing packages if it can’t hardlink between the cache and the environment?,"Yes. If `uv` can’t hardlink between the cache and the environment, the package still installs — it falls back to copying files.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
How can I stop uv from showing the hardlink warning just for my current terminal session?,"Set it for the current terminal session with:

```bash
export UV_LINK_MODE=copy
```

This suppresses the hardlink warning only for that shell session.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
What’s the easiest way to make uv use copy mode every time I open a shell in Codespaces?,"The easiest way is to set the environment variable in your shell startup file:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

That makes `uv` use copy mode every time you open a shell in Codespaces.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
Why does uv switch to copying files in Codespaces instead of hardlinking them?,"Because in GitHub Codespaces `uv` often can’t hardlink files between its cache and the target environment. When that happens, it falls back to copying the files instead. This is expected, not an error.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
My code says dotenv is not recognized — which package do I need to install?,"Install `python-dotenv`.

```bash
pip install python-dotenv
```

Then use:

```python
from dotenv import load_dotenv
load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
How do I fix the error when `dotenv` isn’t found in Python?,"Install `python-dotenv` and then import `load_dotenv`:

```bash
uv add python-dotenv
```

or:

```bash
pip install python-dotenv
```

Then in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

If you’re using a `.env` file, make sure it contains the correct variable name, like `OPENAI_API_KEY`.","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
What should I add if I want to use `load_dotenv()` in my project?,"Install `python-dotenv`.

```bash
uv add python-dotenv
```

Then you can use:

```python
from dotenv import load_dotenv

load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
"Is there a package for loading `.env` files, and how do I install it with uv?","Yes — the package is **`python-dotenv`**.

With `uv`, install it like this:

```bash
uv add python-dotenv
```

Then in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

If you want, I can also show a full `.env` setup example.","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
"After installing the dotenv package, what import should I use in Python?","Use:

```python
from dotenv import load_dotenv
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
Can I do the course on my own machine instead of using Codespaces?,"Yes. Codespaces is just the easiest way to get started with the same environment.

You can run the course locally on your own machine if you’re comfortable setting up the needed tools, such as Python, `uv`, Jupyter, Docker, and anything else required for the module.

If you do it locally, make sure you keep your setup documented and reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"Is Codespaces required, or can I set everything up locally for the RAG module?","No, Codespaces is not required. You can set everything up locally for the RAG module if you’re comfortable installing Python, `uv`, Jupyter, Docker, and the other needed tools.

Codespaces is just the easiest way to give everyone the same starting environment. If you run locally, keep your setup documented and reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
What do I need installed if I want to follow the course on my laptop?,"You need to install the course locally instead of using Codespaces, but the provided context doesn’t say exactly what software or dependencies are required.

I don't know.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"If I skip Codespaces and work locally, do I need to keep my setup reproducible?","Yes — if you run the course locally, you should keep your setup reproducible and document it.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
Why does the course recommend Codespaces if I’m allowed to run it on my own computer?,"Codespaces is recommended because it’s the easiest way for everyone to start with the same environment. If you run locally, you’ll need to set up and maintain the required tools yourself, and keep the environment reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"If I keep working in Codespaces but never commit, where does my code actually live?","Your code lives inside the Codespaces Linux VM. If you never commit, it stays there until the codespace is stopped, deleted, or recreated.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Does uncommitted code in GitHub Codespaces stay safe if the VM gets stopped or deleted?,"No. Uncommitted changes may survive a stop/start, but if the Codespace VM is deleted or you recreate/rebuild the Codespace, those changes can be lost. Commit and push your work regularly to keep it safe.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
"Is it enough to just save files in Codespaces, or do I need to commit them to GitHub too?","No — saving files in Codespaces only stores them in the Codespaces Linux VM. You should still **commit your work to GitHub regularly**, because the codespace can be stopped, disconnected, or deleted later.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
What happens to my changes in Codespaces if the environment disconnects or gets removed later?,"Your uncommitted changes may survive a stop/start, but if the Codespace is disconnected later, deleted, or recreated, they can be lost. To keep your work safe, commit and push regularly to your GitHub repository.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Why should I commit my work regularly in Codespaces if the files are already stored on the Linux VM?,"Even though your files are stored on the Codespaces Linux VM, you should still commit regularly because Codespaces can stop, disconnect, be deleted, or be recreated later. If that happens, uncommitted changes may be lost. Committing and pushing stores your work in your GitHub repository, which is much safer.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Why does WSL2 say the model needs more memory even though my PC has enough RAM?,"Because WSL2 does **not use all of your PC’s RAM** by default. It only gets the amount of memory currently allocated to WSL2, which may be less than what your computer physically has.

To fix it, increase WSL2’s memory limit by creating a `.wslconfig` file in:

`C:\Users\YourUsername\.wslconfig`

Example:

```ini
[wsl2]
memory=8GB
```

Then restart WSL:

```bash
wsl --shutdown
```

You can verify the change in WSL with:

```bash
free
```

So the error happens because WSL2 sees only its allocated memory, not your full system RAM.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
How do I give WSL2 more RAM on Windows so this model can run?,"Your WSL2 probably isn’t using all the RAM available on your Windows machine. To give it more memory:

1. Create a file named `.wslconfig` in your Windows user profile folder, for example:
   `C:\Users\YourUsername\.wslconfig`

2. Add this to the file:
   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL:
   ```bash
   wsl --shutdown
   ```

4. Open WSL again and check with:
   ```bash
   free
   ```

If you want, I can also help you choose a good RAM value for your machine.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
Where should I put the .wslconfig file to change WSL2 memory limits?,"Put the `.wslconfig` file in your Windows user profile directory:

`C:\Users\YourUsername\.wslconfig`

","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
What settings do I add in .wslconfig to increase WSL2 memory allocation?,"Add this to your `.wslconfig` file:

```ini
[wsl2]
memory=8GB
```

Then restart WSL with:

```bash
wsl --shutdown
```","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"After changing WSL2 RAM, how can I check if the new limit is actually applied?",Run `free` inside WSL after you do `wsl --shutdown` and restart WSL. That’s the check mentioned in the context.,"Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
My GitHub Codespace keeps getting stuck on “Finishing up” or won’t reconnect — what are the usual fixes?,"Usual fixes are:

- Go to **github.com/codespaces**, **stop** the codespace, then **start** it again.
- If it still won’t reconnect, open it in the **browser** instead of desktop VS Code, or try another browser like **Edge, Chrome, or Brave**.
- As a last resort, **delete the codespace and create a new one**.

If your setup seems to have disappeared, note that a **rebuild or brand-new codespace starts clean**, so system/global installs may need to be reinstalled. Also, **commit and push your work often** so you don’t lose uncommitted changes if you recreate the codespace.

If Codespaces keeps acting up, you can also consider running the course locally instead.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"If my Codespace won’t open in VS Code desktop, is there another way to get it working?","Yes — if VS Code desktop won’t open your Codespace, try opening it in the **browser** instead. If that still doesn’t work, try a different browser such as **Edge, Chrome, or Brave**.

If it’s still flaky, you can:
- stop and restart the Codespace from **github.com/codespaces**
- delete the Codespace and create a new one as a last resort
- consider running the course locally instead of using Codespaces

I don't know.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
What should I do when my setup or installs seem to disappear in a Codespace?,"If your setup or installs seem to disappear in a Codespace:

- It’s usually because of a **rebuild or a brand-new codespace**, which starts from a clean image.
- The repo in `/workspaces` persists across stop/start, but **system/global installs outside your project may not survive**.
- The quickest fix is to reinstall using `uv`, for example:
  - `uv sync`
  - `uv add ...`

Also, **commit and push your work often** so you don’t lose uncommitted changes if the codespace is deleted or recreated.

If Codespaces keeps acting flaky, you can also consider running the course locally instead.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"Does stopping and starting a Codespace keep my files and changes, or can they vanish after a rebuild?","Stopping and starting a Codespace should keep your files and uncommitted changes.

However, a **rebuild** or creating a **brand-new codespace** starts from a clean image, and some setup outside your project may disappear. Also, if you **delete or recreate** the codespace, any uncommitted changes are lost.

Best practice: **commit and push often**.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"If Codespaces keeps acting flaky, is there a good fallback for taking the course?","Yes — if Codespaces keeps being flaky, you can run the course locally instead. Codespaces is just the easiest shared setup, not a requirement.

You’ll need to be comfortable setting up the tools yourself, like Python, `uv`, Jupyter, Docker, and anything else the module needs. If you do go local, make sure to keep your setup documented and reproducible.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
